Course_Name,Course_Number,Dept_Code,Description,Notes,NumberOfCredits,SemesterOffered,prereq,CrossListed
"  Computer Communication Networks ",4306,ECNG," Introduction to communication networks including basic networking concepts, OSI and TCP/IP models; Transport layer protocols, Data link layer, multiple access, wireless LANs; Network layer including logical addressing, Internet Protocol (IP), data forwarding and routing.",NULL,3," Offered in fall and spring.","ECNG 4301",NULL
"  Telecommunications Systems ",4308,ECNG," Telephone system fundamentals including infrastructure, transmission, switching, capacity planning and DSL systems; Voice over IP network basics including major techniques such as H.323 and SIP; Satellite communications including configurations and characteristics of satellite communication systems, Services, Orbits and Satellite networks.",NULL,3," Offered occasionally.","ECNG 4301",NULL
"  Music Production Using Protools II ",4308,MUSC," A continuation of Music Production Using Protools I. The course will teach students advanced sound engineering techniques. For example, students will learn how to adapt their workstation (including the rams, processor, and hard disks) to accommodate large recording sessions without facing problems of slow processing which can affect quality, by adjusting the playback engine and delaying compensation. Students will learn how to set time and tempo operations and key signature for composing and arranging songs using Protools, and how to upgrade the quality of the MIDI recorded tracks performed by amateurs into professional-quality output. The course will also explore different types of recording and advanced editing techniques, and develop essential techniques for using plug-ins in the mixing and mastering stages.
",NULL,3,NULL,"MUSC 2300",NULL
"  Digital Mixing Techniques ",4309,MUSC," The course will examine the theory and practice of the music mixing process and mixing analysis, using a digital audio workstation (DAW) application, Protools v.8.0.1, currently the market standard. Students will study the different hardware (like studio monitors or speakers), software (i.e. the Protools application), and processes (like meters and signal flow), involved in digital mixing, the use of equalizers, dynamics processors, effects (reverb, chorus and delay) and pitch corrections, and the different types of panning, automation and bouncing of final mixes.
",NULL,3,NULL,"MUSC 2200",NULL
"  Optical Communication Systems ",4310,ECNG," Operating principles of optical communication systems and fiber optic communication technology. Characteristics of optical fibers, laser diodes, and laser modulation, laser and fiber amplifiers, detection and demodulation, dispersion compensation, and network topologies. System topology, star networks, bus networks, layered architectures, all-optical networks.",NULL,3," Offered occasionally.","ECNG 3401",NULL
"  Advanced Studio II ",4311,ARTV," Continuation from Advanced Studio I, this is an advanced course that further develops students’ studio practices with an initial multidisciplinary collaborative working process. Particular focus is given to newer mediums such as immaterial, conceptual, interventionist and performative practices: new media; and collaborative and cross-disciplinary work. Students develop critical thinking skills about context, space and location. Increasingly sophisticated and ambitious studio practice is expected. The class is conducted through a combination of lectures, group project assignments, and studio practice. This course is required to be taught in Sharjah Art Gallery.

",NULL,3,NULL,NULL,NULL
"  Design Development and Construction Documents ",4312,ARCH," Development of design into technical documents. Production of construction documents. Design of construction assemblies, constructability aspects and choice of materials. Building coordination and integration using Building Information Modeling applications. Drawing conventions and symbols. Building permit package. Basics of technical specifications. ",NULL,3," Offered in fall and spring.","ARCH 3311",NULL
"  Advanced Studio III ",4312,ARTV," Continuation from Art Studio II. This course looks at archives and collections as creative practice, specifically looking at the archive itself as an object of critical analysis. Using interdisciplinary methods and readings on archival practice, students will be challenged to look  critically at a range of archival collections to interrogate the motivations behind collecting and curating arts.

",NULL,3,NULL,NULL,NULL
"  Mobile Communication Systems ",4312,ECNG," The development, structure, and techniques of mobile communications systems. Propagation models in mobile communications. Cellular Networks and their capacity. Coding and diversity for wireless communications. Wireless communication standards; control signaling; MAC-related concepts. Wireless LAN’s.",NULL,3," Offered occasionally.","ECNG 4302",NULL
"  Mathematics of Derivatives Pricing I ",4312,MACT," Introduction to financial concepts: Forwards and futures, options, put-call parity, arbitrage and no-arbitrage strategies, pricing forwards with dividends and without dividends and description of interest rate swaps. Mathematical techniques for pricing: put-call parity with and without dividends, put-call parity for coupon bonds, relationships between European and American options, properties of options (monotonicity, rate of increments, convexity), one-period and multi-period binomial trees for stock price and forward price, pricing options using a binomial tree, delta hedging, risk-neutral pricing, pricing and hedging American options.",NULL,3," Offered once a year."," MACT 3311",NULL
"  Local and Metropolitan Area Networks ",4313,CSCE," Introduction to LAN, MAN and WAN. Topologies and transmission media. Protocol Architecture and Logical Link Control. Traditional LANs. High-Speed Ethernet-Like LANs, FDDI. ATM LANs. Wireless LANs. Network performance and management.",NULL,3," Offered in spring.","CSCE 3311",NULL
"  Mathematics of Derivatives Pricing II ",4313,MACT," The course aims to introduce students to continuous-time models in financial markets. It also gives an overview of the type of mathematics and stochastic modelling that arises in the area of financial derivative pricing: binomial model, stochastic processes, portfolio replication approach and risk neutral evaluation. In this course, we explore the Black-Scholes framework and option hedging using the Greeks. We also introduce some interest rate models and price options in the bond market.",NULL,3," Offered once a year."," MACT 4312",NULL
"  Oil and Gas Transmission and Storage ",4313,PENG," Pipe line transport, pipe line design, calculation of the pressure drop through the pipes, fittings, valves, and bends, pipe line construction, pumping and boosting stations, gas transmission lines, metering, pipe line automation, tanker and railroad transportation, pipeline safety, regulations, specifications of the pipeline for onshore and offshore networks, examples of international pipelines, pipeline operations and maintenance, crude oil storage type, temporary storage of crude oil, crude oil stock calculations.",NULL,3," Offered every other semester.","PENG 3311",NULL
"  Design and Construction of Foundations and Retaining Structures ",4314,CENG," Subsurface soil exploration and reporting; types of foundations systems and design criteria; theory of bearing capacity, design of shallow foundations, dimensioning footings; structural design of footings; isolated, combined and strap beam, design of deep foundations; bases for design of retaining structures; construction methods; effects of construction of nearby structures.",NULL,3," Offered in fall and spring.","CENG 4313",NULL
"  Financial Modeling ",4314,MACT," Financial modeling, Excel functions, Simulation models, Applications of financial modeling in practice.",NULL,3,NULL,NULL,NULL
"  Applications in Geotechnical Engineering ",4315,CENG," Geotechnical analysis and design concepts applied to engineering projects: stability of natural and man-made soil and rock slopes, reinforced earth, deep soil stabilization, cofferdams, mat foundation, deep foundation under various loading conditions.",NULL,3," Offered occasionally.","CENG 4314",NULL
"  Artificial Lift Methods ",4320,PENG," Overview of the artificial lifting methods screening criteria and their applicability, description of each method components, operation, design and field applications including Electric Submersible Pump (ESP), Gas Lift, Rod Pumping, Hydraulic Jet Pump and Progressive Cavity Pump. Problem solving sessions include full design calculations for ESP, Rod Pumping, Gas Lift, and Hydraulic Jet Pump applications. State of the art software application will be used in sessions for simulating gas lift and ESP. Modeling their performance and conducting full design and trouble shooting of each system.",NULL,3,"   Offered occasionally",NULL,NULL
"  Long-Term Actuarial Mathematics I ",4321,MACT," This course develops a theoretical basis for the mathematics of life contingencies. It covers models for life contingencies, survival models, life insurance, annuities and premiums calculation. The subjects to be covered include: future lifetimes, analytical mortality laws, life table, fractional age assumptions, non-parametric estimation of survival models, continuous and discrete life insurances, continuous and discrete life annuities, net single premium, annual benefit premium, loss at issue, premium principles.",NULL,3," Offered once a year."," MACT 3211",NULL
"  Long-Term Actuarial Mathematics II ",4322,MACT," This course is designed to build and expand on the concepts introduced in ",NULL,3," Offered once a year."," MACT 4321",NULL
"  Petroleum Refining ",4323,PENG," Type and evaluation of crude, petroleum processing, material and energy balance, physical separation, distillation, absorption, cracking, reforming, chemical refining, sweetening, processing of petroleum gases, lubricating oil, refining schemes, refining equipment’s."," ",3,NULL,"PENG 3420",NULL
"  Well Stimulation ",4325,PENG," Well stimulation involves matrix acidizing, hydraulic fracturing proppant, and acid fracturing in vertical and horizontal wells. New applications in the multistage frac, unconventional frac, Candidate selection, treatment design and execution of acidizing and hydraulic fracturing treatments. selection of acid additives, lab testing, QA/QC, and treatment evaluation",NULL,3," Offered occasionally",NULL,NULL
"  Health, Safety, Environment and Professional Ethics ",4330,PENG," The objective of the course is to provide the students with the necessary fundamentals and basic understanding of Health, Safety, Quality and Environment (HSE). The course identifies different types of hazards, and control systems. The course also covers environmental impact assessments. Students are also introduced to professional ethics, various moral issues and codes of ethics.",NULL,3,NULL,NULL,NULL
"  Philosophy and Film ",4350,FILM," This course considers the relationship between philosophical reflection and aesthetic practice through the lens of cinema, with the purpose of engaging students of both philosophy and film theory in a cross-disciplinary investigation into cinema. The course will draw both from philosophical texts on film, and classical and contemporary film theory. Topics may include epistemological, ontological and ethical questions about film; the role of memory, subjectivity, identity, and desire in cinema; time, space, and the nature of the image; perspectives on sexuality, gender, and race in film; psychoanalytic, feminist, and postcolonial film theory, and analytic and continental approaches to film and philosophy.",NULL,3,NULL,NULL,NULL
"  Transportation Engineering ",4351,CENG," Introduction to transportation planning and engineering; transportation planning tools, concepts of geometric and structural design and construction of highways, and concepts of geometric design of railways.",NULL,3," Offered in fall and spring.","ENGR 2104",NULL
"  Highway Facilities ",4352,CENG," Analysis of factors in developing highway transportation facilities, traffic estimates and assignment, problems of highway geometric and design standards, planning and location principles, intersection design factors, structural design of pavement and highway maintenance.",NULL,3," Offered occasionally.","CENG 4351",NULL
"  Experiential Learning in Film ",4356,FILM," This course designed to provide students with the opportunity to gain practical experience and to work and learn within the film community (production, festivals, administration, archives, research) as interns, paid employees, or volunteers. Students interested in enrolling in this course should submit a proposal to the Film Program. The proposal should be submitted for approval at least one month in advance of beginning the work. Students should also include an official letter from the host institution which has agreed to supervise their project indicating approval of the proposed student project. The host institution should also agree to provide an evaluation of the quality of the student performance within two weeks after the end of the student project.",NULL,3,NULL,NULL,NULL
"  Writing for Publication ",4360,RHET," This course develops the skills to produce effective articles and presentations with a focus on journal submission requirements, journal review, and publication processes. It provides training in the integration of information technology for presentations, and in primary and secondary research methods.",NULL,3,NULL,NULL,NULL
"  Introduction to Public International Law ",4371,LAW," Introduces students to the practice and theoretical foundations of public international law, covering such topics as sources doctrine (customary international law, treaty law etc.), international personality, jurisdiction, state responsibility, self-determination and the use of force. This course may be counted towards the Dual Degree Option combining a BA in Political Science and an MA in International Human Rights Law.",NULL,3," Offered in fall and spring.","POLS 4371","POLS 4371"
"  Introduction to Public International Law ",4371,POLS," Introduces students to the practice and theoretical foundations of public International law, covering such topics as source doctrine (customary International law, treaty law, etc.), international personality, jurisdiction, state responsibility, self-determination and the use of force. This course may be counted toward the Dual Degree Option combining a BA in Political Science and an MA in International Human Rights Law.",NULL,3," Offered in fall and spring.","POLS 3620",NULL
"  International Law in the Middle East ",4372,POLS," An in-depth treatment of selected issues of contemporary international law. Provides students with an understanding of specialized areas of international law including the use of force and dispute resolution, acquisition of territory, state succession, law of the sea, and international human rights law by focusing on specific issues relevant to the Middle East.",NULL,3," Offered in spring.","POLS 4371",NULL
"  Special Topics in Public Law ",4373,POLS," Topics drawn from constitutional and administrative law, including related jurisprudence and judicial institutions.",NULL,3," Offered occasionally.",NULL,NULL
"  Special Topics in Public International Law ",4374,POLS," Specialized areas of international law, such as human rights and humanitarian law.",NULL,3," Offered occasionally.","POLS 4371",NULL
"  Introduction to Egyptian and Islamic Law ",4375,LAW," The Egyptian legal system will be considered according to its present structure and historical development, including institutions, processes, laws, and the courts. There will be special emphasis on developments in constitutional law and the role played by the constitution in the political context of present day Egypt. The course also offers an introduction to Islamic jurisprudence in the classical doctrine, in the pre-modern Egyptian legal system and in contemporary Egypt. This course may be counted towards the Dual Degree Option combining a BA in Political Science and an MA in International Human Rights Law.",NULL,3," Offered once a year.","POLS 4375","POLS 4375"
"  Introduction to Egyptian and Islamic Law ",4375,POLS," The Egyptian legal system will be considered according to its present structure and historical development including institutions, processes, laws, and the courts. There will be special emphasis on developments in constitutional law and the role played by the constitution in the political context of present day Egypt. The course also offers an introduction to Islamic jurisprudence in the classical doctrine, in the pre-modern Egyptian legal system, and in contemporary Egypt. This course may be counted toward the Dual Degree option combining a BA in Political Science and an MA in International Human Rights Law.",NULL,3," Offered in fall.","LAW 4375",NULL
"  Law and Development ",4377,POLS," This course will explore the interface between law and processes of development. by looking critically at what is meant by “law”, we will explore the impact of law (however defined) on social and economic development. In so doing, the beneficial and detrimental impacts of law on development will be assessed. The influence of law in the domains of population, constitutionalism, and the environment, among others, will be considered.",NULL,3," Offered Occasionally.","POLS 3510",NULL
"  Introduction to International Human Rights Law ",4378,LAW," The course provides an overview of the major human rights treaties, customary norms, international institutions and mechanisms of enforcement while at the same time, encouraging a critical stance, which questions the role and effect of human rights in a world of distress and inequality. This course may be counted towards the Dual Degree Option combining a BA in Political Science and an MA in International Human Rights Law.",NULL,3," Offered once a year.","POLS 4378","POLS 4378"
"  Introduction to International Human Rights Law ",4378,POLS," The course provides an overview of the major human rights treaties, customary norms, international institutions and mechanisms of enforcement, while at the same time encouraging a critical stance that questions the role and effect of human rights in a world of distress and inequality. This course may be counted towards the Dual Degree Option combining a BA in Political Science and an MA in International Human Rights Law.",NULL,3," Offered in fall and spring.","LAW 4378",NULL
"  Western Music Theory III ",4400,MUSC," In-depth study of phrase rhythm and motivic analysis, tonicizing scale degrees other than V, modulation to closely related keys, binary and ternary forms, modal mixture and chromatic mediants and submediants, and the Neapolitan sixth and augmented sixth chords. Students will leave this course with ability to analyze, compose, and write about all of the topics covered in Western Music Theory I-III.",NULL,3,NULL,"MUSC 3400",NULL
"  Professional Selling ",4401,MKTG," Professional selling skills, analyzing advantages and challenges of a sales career, and most desired characteristics of successful sales people. The course explains the buying process, buying systems, and procedures and how the making of each customer type has an impact on the sales process. The course walks students through all the steps of the selling and post sale activities."," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor.",3," Offered occasionally.","MKTG 2101",NULL
"  Sight-Singing and Aural Skills III ",4401,MUSC," Review of advanced concepts of pitch, harmony, and rhythmic notation. By the end of the semester, students will be able to sing melodies in all major and minor tonalities, articulate rhythms in simple, compound, and irregular meters, arpeggiate harmonic progressions include augmented and other predominant harmonies and modulation, and handle various chromatic techniques.",NULL,1,NULL,"MUSC 3400",NULL
"  Electromagnetic Waves ",4402,ECNG," Review of Maxwell’s equations. Transmission lines. Signal matching, Smith chart, Stub matching. Parallel plate, rectangular, and optical waveguides. Antennas and radiation of electromagnetic energy. Boundary Value problems. Several experiments are conducted in the Microwave Lab to illustrate material covered in the course.",NULL,3," Offered in fall and spring.","ENGR 1005",NULL
"  Independent Study ",4402,FILM," With departmental approval, advanced students may arrange an  individualized course topic to be completed under faculty supervision.",NULL,1," Offered in fall and spring.",NULL,NULL
"  Reporting and Writing in Arabic ",4402,JRMC," Advanced principles and practice in reporting and writing in and from Arabic.",NULL,3," Offered occasionally.","JRMC 2202",NULL
"  Business Consultancy ",4402,MGMT," This course aims to equip Business, Accounting and Economics students with the necessary tools to work in the business consulting field. The approach is practical, involving a series of case solving assignments and projects. Additionally, students will be trained on how to communicate their solutions effectively. The key objectives of the course are:

",NULL,3,NULL,NULL,NULL
"  Feature and Magazine Writing ",4403,JRMC," Principles and intensive practice in researching, organizing, and writing feature articles for international newspapers and magazines."," Enrollment is limited and priority is given to students with declared MMJ majors.",3," Offered occasionally.","JRMC 2202",NULL
"  American Government and Politics ",4403,POLS," Formation and implementation of public policy, with attention to the structure, powers, and functions of the presidency, the bureaucracy, the Congress, and the federal courts and the forces that influence their actions.",NULL,3," Offered in fall.","POLS 1001",NULL
"  Independent Study ",4405,ANTH," In exceptional circumstances some senior majors with departmental approval may arrange to study beyond the regular course offerings.",NULL,1," Offered in fall and spring.",NULL,NULL
"  Advanced Visual Communication ",4405,JRMC," Advanced practical integration of digital text and photographs in desktop publishing of printed material using state-of-the-art production hardware and software.",NULL,3," Offered occasionally.","JRMC 3305",NULL
"  Comparative Politics of Contemporary Africa ",4405,POLS," Introduction to the social arena within which politics occurs and the political arena which helps to shape society in Africa today. Focuses on understanding continuity and change in African politics and societies, and sheds light on both the significant potential of Africa, and the enormous challenges the continent faces.",NULL,3," Offered occasionally.",NULL,NULL
"  Independent Study ",4405,SOC," In exceptional circumstances some seniors and graduating seniors with department approval may arrange for independent study on a chosen topic in sociology that is not covered in the regular offerings for that academic year. Guided readings, research and frequent consultations held",NULL,3," Offered in fall and spring.",NULL,NULL
"  Stage Lighting ",4405,THTR," The study of lighting theory and practice for the stage. Topics to be covered are: fundamentals of light theory, basics of electricity, lighting equipment and its use, historical overview of lighting for theatre, examination of current lighting methodology and an introduction to lighting design.",NULL,3," Offered occasionally.",NULL,NULL
"  Internship ",4406,JRMC," Field experience in an approved professional setting in journalism, advertising, public relations, public information, broadcast or online media outlet. Supervised by a professional and an AUC full-time faculty member.",NULL,3,NULL,NULL,NULL
"  Costume Design for Theatre and Film ",4406,THTR," Students will examine the social and historical dynamics of dress and the application of those dynamics to the theatrical and film costume. Coursework will include research into the history of dress and it’s application to historical costume design as well as the interpretation of contemporary scripts for costume design. Will include instruction in fundamental drawing and painting skills.",NULL,3," Offered occasionally.",NULL,NULL
"  Microwave Systems ",4407,ECNG," Introduction to microwave engineering and wave equation review. Wave propagation and cutoff considerations. Transmission line power and mode limits. Planar and microstrip lines. Obstacles in transmission lines. Impedance matching and tuning. Quarter-wave transformer design. Microstrip transitions. Transmission line and cavity resonators. Sacttering-parameters and applications. Microwave transistor amplifier gain and stability design. Microwave filter design by insertion loss method.",NULL,3," Offered occasionally.","ECNG 4402",NULL
"  Introduction to Construction Management and Cost Estimating ",4410,CENG,NULL,NULL,3,NULL,"CENG 3153",NULL
"  Introduction to Computational Linguistics ",4410,LING," Computational linguistics is an interdisciplinary field of study that brings linguistics and computer science together. This course introduces students to the main concepts of the field and its real-world applications, including, but not limited to, machine translation and information retrieval. Furthermore, it gives students hands-on experience with using and developing computational linguistics tools such as part-of-speech taggers, morphological analyzers, syntactic parsers, and semantic interpreters. To use and develop such tools, students will learn about regular expressions, programming for text analysis, and machine learning. No prior knowledge of computer science or programming is required for this course.",NULL,3,NULL,NULL,NULL
"  Fundamentals of Distributed Systems ",4411,CSCE," Introduction to distributed systems. Modeling, specifications, consistency, fault tolerance, interprocess communication, network and distributed operating systems, distributed mutual exclusion, distributed deadlock detection, load balancing and process migration.",NULL,3," Offered in fall.","CSCE 3401",NULL
"  Fundamentals of Data Mining ",4411,DSCI," Introduction to the fundamental concepts of data mining, motivation for and applications of data mining, text and web mining, and survey of techniques and models. Topics include: data pre-processing, frequent pattern mining, clustering, classification, and case studies using data sets taken from real-life applications, and use of data mining software.",NULL,3,NULL,NULL,NULL
"  Introduction to Big Data Technologies ",4412,DSCI," The course introduces Big Data problems and associated frameworks and technologies. First, the course motivates the topic using real-world big data problems. Second, it sheds light on handling big data, from data collection, to monitoring, storage, analysis and reporting. The course also includes programming models used for scalable big data analysis. It also introduces one of the most common Big Data frameworks, namely Hadoop, in addition to the Map-Reduce Programming Model. Finally, it solves sample case studies using the covered Big Data analytics tools.",NULL,3,NULL,NULL,NULL
"  Newsroom Editing and Management ",4412,JRMC," Supervised advanced newsroom experience in writing, editing, layout and management of ",NULL,3,NULL,"JRMC 3312",NULL
"  Analysis of Categorical Data ",4413,DSCI," The analysis of discretely measured responses such as counts, proportions, nominal variables, ordinal variables, discrete interval variables with few values, continuous variables grouped into a small number of categories, etc. Topics include: Detection of outliers in categorical data; Inference and distributions for discrete data; Inference for contingency tables; Generalized linear models for count data; Models for binary and multinomial response (logistic regression, Poisson regression, Loglinear models); Classification and regression trees; Cluster analysis for categorical data; The course includes an applied project using computer programming language such as R or Python.",NULL,3,NULL,NULL,NULL
"  Advanced Machine Learning ",4415,DSCI," Perceptron and multilayer neural networks, Gradient descent, Back-propagation, Convolutional Neural Network (CNN), pooling layers, CNN applications, Recurrent Neural Networks (RNN), vanishing gradient problem, case studies: object detection, and stock price estimation, GANs.",NULL,3,NULL,NULL,NULL
"  Public Relations Theory and Techniques ",4415,JRMC," Principles and practical use of public relations and public information techniques, with emphasis on media use for business and non-profit organizations.",NULL,3,NULL,"JRMC 2202",NULL
"  Capstone l ",4416,DSCI," A capstone project divided between two courses DSCI 4416 and ",NULL,1,NULL,NULL,NULL
"  Capstone II ",4417,DSCI," This is a continuation of ",NULL,2,NULL,NULL,NULL
"  Construction Project Specifications, Bids, and Contracts ",4420,CENG," Participants in a construction contract. Contract definition. Types of contracts; formation principles of a contract, performance or breach of contractual obligations. Analysis and comparison of the different kinds of construction contracts. Bidding logistics. Legal organizational structures. Different types and uses of specifications. Different forms of contracts utilized in construction.",NULL,3," Offered in fall and spring.","CENG 4410",NULL
"  Media Management ",4420,JRMC," Management theories and practices as applied to media organization, unique characteristics of media outlets, various operating philosophies, legal issues, regulations and related topics will also be covered including programming strategies.",NULL,3,NULL,NULL,NULL
"  Issues in Middle East Politics ",4420,POLS," Selected Topics in Middle East Politics investigated under the guidance of a faculty member. May be offered as a seminar.",NULL,3," Offered occasionally.",NULL,NULL
"  Professional Practice, Design Management and Codes ",4421,ARCH," Types of architecture firms. Design process management. Business management of architecture firms. Procurement of architectural services. Architects’ administrative role. Architecture practice stakeholders. Building contracts and legal aspects. Building codes. Introduction to real-estate investment concepts. Applicaions on design projects.

",NULL,2,NULL,NULL,NULL
"  Computer Security ",4421,CSCE," Fundamentals of computer security. Identification and authentication. Access control, different approaches for inclusion of a security kernel. Security in UNIX and Windows. How security is broken and how it is evaluated. Distributed systems security, World Wide Web security, and network security. Practical experience to be gained through an assigned project to evaluate the security of a real operational system.",NULL,3," Offered occasionally.","CSCE 3401",NULL
"  Renewable and Alternative Energy ",4421,PENG," Principles of Renewable and Alternative Energy Systems: Wind, Solar, Biogas, Geothermal, Fuel Cells, and Hydrogen Technologies. Economic Aspects; Efficiency; Introduction to Nuclear Energy. Connection to Grid, Smart Grids and intermittency, Market liberalization."," ",3," Offered in fall or spring.","PENG 3415",NULL
"  Energy conversion and materials ",4422,PENG," Conversion of fossil, nuclear, biomass to fuel; Electrochemical conversion in fuel cells and photovoltaics; Criteria determining efficiency of energy conversions; Materials for energy applications including membranes, catalysis, electrodes, supercapacitors, and semi conductors."," ",3," Offered fall or spring.","PENG 4421",NULL
"  Contemporary Egypt ",4422,POLS," This course examines the politics of the Egyptian Revolution in 2011; its antecedents, dynamics and aftermath. Aspects of continuity and change in Egyptian politics are examined in light of theories drawn a wide range of cases of political transformation across the world.",NULL,3," Offered occasionally.",NULL,NULL
"  Energy and the Environment ",4423,PENG," Energy use and energy patterns in modern society; Resource estimates; Engineering analysis of energy systems; Managing carbon emissions; Environmental impact and protection, Environmental remediation technologies. Supply and Demand of energy; Energy Scenarios and modeling; Energy Policy and Auditing; Sustainable development."," This course can only be offered to students matriculated before fall 2015.",3," Offered in fall or spring.","PENG 2411",NULL
"  Comparative Government and Politics: Developing Systems ",4423,POLS," The government and politics of selected countries in the developing world (Middle East, Africa, Asia, Latin America). Subjects covered may include the structural and functional characteristics of executive, legislative, and judicial institutions; bureaucracy, political parties, mass movements, political culture, the role of public opinion, foreign policy.",NULL,3," Offered occasionally.","POLS 1001",NULL
"  Comparative Government and Politics in Contemporary Eastern Europe and Russia ",4424,POLS,NULL,NULL,3,NULL,"POLS 1001",NULL
"  Integrated Marketing Communication Campaigns Capstone ",4425,JRMC," Examination, development, and critique of advertising and marketing communication campaigns, with emphasis given to creative and media factors."," IMC seniors only.",3,NULL,"JRMC 4415",NULL
"  Environmental Protection & Chemical Pollution ",4425,PENG," Air Pollution; Water Pollution; Chemical Pollution, Combustion Emissions; Toxicity, and Poisoning; Environmental Management; Environmental Hazards; Industrial Pollution; Safety; Regional and Global Regulations and Certifications. Biologica Oxygen Demand, Health and Safety, Oil spills and disasters, selected Case Studies.

",NULL,3,NULL,"PENG 3415",NULL
"  Government and Politics of Egypt ",4425,POLS," Examination of structure and process of the Egyptian government and political life including: the executive, legislative and judicial institutions and their powers; the legislative process; executive policy making; electoral processes; parties and interest groups; and other selected aspects of the interaction between state and society.",NULL,3," Offered in fall.",NULL,NULL
"  Principles of Nuclear Engineering ",4429,PENG," Introduction to nuclear engineering; Global and nationals energy requirements; Radioactivity; Atomic models; Fission and fusion reactor concepts; Neutron diffusion theory; Radiation protection and safety."," ",3," Offered fall or spring.","PENG 3415",NULL
"  Risk Management and Bidding Strategies ",4430,CENG," Introduction to Risk and Uncertainty. Process of Risk Management: Risk Identification, Risk Analysis (Qualitative and Quantitative), Risk Response Planning, Risk Monitoring and Control, Tools and Techniques: Decision Tree, modeling, optimization, linear programming, network optimization, and inventory models. Monte Carlo Simulation and Application. Accounting for Project Risks. Introduction to Risk Analysis packages (Crystal Ball, PERT Master). Analyzing the Bidding Behavior of Key Competitors and Estimating Optimum Markup.",NULL,3," Offered in fall and spring.","CENG 4410",NULL
"  Advertising Agency Operations ",4430,JRMC," This course is designed to provide the students with insight into how advertising agencies are organized and managed. The five essential functions of the agency are deeply explored and integrated. The account management, the strategy development, the creative team, the art direction, and the business management are all equally important. Each is studied with guest speakers and site visits to demonstrate how they are managed to contribute to the success of the business.",NULL,3,NULL,NULL,NULL
"  Seminar: Comparative Politics and/or Policies ",4432,POLS," Selected topics in the field of comparative politics or policies, with concentration on a single country, problem, or policy.",NULL,3," Offered occasionally.",NULL,NULL
"  The State and Society ",4435,POLS," The concept of the State is at the centre of the study of politics and of our understandings of political and socio-economic problems like ethnic conflict, sectarian strife, law enforcement, economic development and democratization. This course offers a critical study of theories from Marx, Weber, and other social scientists about the State, its institutions, and its interactions with its society and its citizens.",NULL,3," Offered in spring.",NULL,NULL
"  Comparative Politics of Asia ",4437,POLS," This course is designed to provide an overview of politics and governments in different countries of Asia. There will be some historical coverage but we will concentrate on postwar developments. The course will cover all the major countries and a primary focus will be on democratic developments and transitions.",NULL,3,NULL,NULL,NULL
"  Modern China ",4438,POLS," An examination of the evolution of modern China’s political system in the light of Chinese history. Areas for consideration will include the structure of Chinese political culture, how communism has served China, how China’s past may continue to determine China’s future. When there is sufficient interest, and such arrangements are possible, the course will include a two- to three- week trip to China.",NULL,3," Offered occasionally.",NULL,NULL
"  Comparative Politics of the Modern Caucasus and Central Asia ",4439,POLS," The policy of colonization and the collapse of the Soviet multi ethnic empire. New nation states in the post communist era including their relations with the Middle East.",NULL,3," Offered occasionally.","POLS 1001",NULL
"  Techniques of Planning, Scheduling and Control ",4440,CENG," Project definition and work breakdown structure, deterministic and probabilistic scheduling and control models and techniques. Resource allocation and levelling, optimal schedules, documentation and reporting, time and cost control, progress monitoring and evaluation. Computer applications.",NULL,3," Offered in fall and spring.","CENG 4410",NULL
"  Engineering Operations Research ",4440,MENG," Introduction to operations research, Linear Programming (LP) models; LP Solution approaches; integer programming; post optimality analysis; transportation, transshipment, and assignment problems. Maximal flow, shortest route, minimum spanning tree, and travelling salesman problems. Case studies, model formulations and applications using software.",NULL,3," Offered in fall and spring.","ENGR 3202",NULL
"  Camera and Editing Workshop ",4441,JRMC," Intensive field and lab training with digital video camera. Computer-driven digital editing program enables video journalist to shoot and edit news events to a finished professional product. Requires weekly practice hours outside class time.",NULL,3,NULL,"JRMC 2202",NULL
"  Decision Support in Engineering Systems ",4441,MENG," Interactive computer-based engineering decision support systems (DSS), Design and development, informational data base, mathematical models including nonlinear, goal and dynamic programming problems, queuing and decision analysis, heuristics and user interface.",NULL,3," Offered occasionally.","MENG 4440",NULL
"  Reliability Engineering and Risk Analysis ",4442,MENG," Basic concepts of components and systems reliability. Methods of modeling systems for reliability analysis. Reliability estimation & measurement. Principal methods of reliability analysis, including fault tree and reliability block diagrams; Failure Mode and Effects Analysis (FMEA); event tree construction and evaluation; reliability data collection and analysis. Design by reliability & probabilistic design. Overview of Risk Assessment and Risk Management, relation to System Safety and Reliability Engineering measures.",NULL,3," Offered occasionally.","MENG 3402",NULL
"  Systems Simulation ",4443,MENG," Basic concepts; examples of different production and service systems; pseudo random numbers; queuing models; random variate generation; discrete-event simulation; simulation languages; model validation and analysis of simulation data.",NULL,3," Offered occasionally.","MENG 3402",NULL
"  Media Law and Policy ",4444,AMST," An explanation of communication law and regulation with its major segments libel, privacy and news-gathering together with journalists’ rights and defenses against libel suits. Issues of national and international topics are covered together with media law cases.",NULL,3,NULL,"JRMC 2203",NULL
"  Media Law and Policy ",4444,JRMC," An explanation of communication law and regulation with its major segments libel, privacy and news-gathering together with journalists’ rights and defenses against libel suits. Issues of national and international topics are covered together with media law cases.",NULL,3,NULL,"AMST 4444",NULL
