Course_Name,Course_Number,Dept_Code,Description,Notes,NumberOfCredits,SemesterOffered,prereq,CrossListed
"  Calculus II ",1122,MACT," The calculus of inverse trigonometric and hyperbolic functions. Applications of the definite integral for finding areas and volumes of revolutions. Techniques of integration. Improper integrals. Sequences and series: Convergence tests, power series, Taylor series with applications. Vectors and the three-dimensional space: Dot and cross products, lines and planes.",NULL,3," Offered in fall and spring.","MACT 1121",NULL
"  Acting for Non-Majors ",1200,THTR," An introduction to the art and technique of acting for the non-major student, utilizing training games and exercises to present the student with a general overview of the acting process, while also providing experiences and techniques beneficial to basic human communication."," May not be used for departmental credit by theatre majors or minors.",3," Offered in fall and spring.",NULL,NULL
"  Theatre in the Making ",1201,THTR," An introduction to theatre as a collective art form by exploring all of its components and participants: from playwright to actor, from director to designers, from producing team to audience.",NULL,3," Offered in fall and spring.",NULL,NULL
"  Statistical Reasoning ",1221,MACT," Descriptive and inferential statistics, including graphing data and correlation analysis. Random variables and their probability distributions. The distribution of the sample means, the central limit theorem. Point and interval estimation and hypotheses testing. Students are instructed on the use of a statistics computer package at the beginning of the term and use it for assignments."," Students can not take both MACT 1221 and  for credit.",3," Offered in fall and spring.","MACT 2222",NULL
"  Current Health Issues ",1410,BIOL," Explores the public and personal health infrastructure with a focus on Egypt. The course has an optional service-learning component in which students become aware of their role in community health issues. Information will be present in the form of classroom discussions, debates, field trips, and videos."," This course is open to all AUC students.",4,NULL,NULL,NULL
"  Fundamentals of Data Science II ",1412,DSCI," Fundamentals of Python programming in the context of Data Science with a focus on relevant packages. Coverage of techniques for database handling, data manipulation, visualization and summarization. Study of probability basics and further statistics required for assessing sampling techniques, designing estimators, hypothesis testing and fitness tests. Focus on simulation basics, analytics, data interpretation and basic machine learning models such as regression and kNN classifiers.",NULL,3,NULL,NULL,NULL
"  Exploring Electrical Engineering ",1501,ECNG," This course utilizes programming in the context of simple electrical engineering applications and also teaches elements of sensor and actuator operation, communications, control, and circuit theory.",NULL,1,NULL,NULL,NULL
"  Programming Elements for Electrical Engineering ",1502,ECNG," The objective of this course is to engage students and help reinforce their traditional programming assignments with practical hardware applications. This course introduces programming elements that form the basis for embedded development as well as scientific computing. Example programming languages and toolboxes used in the course projects and assignments include C and Matlab.",NULL,3,NULL,NULL,NULL
"  Free-hand Representation for Architects ",1511,ARCH,NULL,NULL,3,NULL,NULL,NULL
"  Digital Representation Tools for Architects ",1521,ARCH," An introduction to different forms of digital representation in architecture: architectural drawings, 3D-modeling, rendering, sheet layout design and fundamentals in animation and image editing. Introduction to Building Information Modeling (BIM) and graphical representation software. Such techniques are utilized as design tools for the creative development of projects and communication with clients and consultants from different disciplines in architectural practice.",NULL,2," Offered in fall and spring.","ENGR 1005",NULL
"  Private Lessons in Voice or an Instrument ",1800,MUSC," Private lessons in voice or an instrument. Twelve one-hour lessons in the semester. Students are expected to practice a minimum of one hour every day. Students will perform before a jury of teachers for the final examination. A lab fee will be assessed for each semester of instruction."," All students are required to meet with their teacher in the first week of classes. They MUST contact the Music Coordinator in the Department of the Arts’ Main Office by the first day of classes in order to arrange this. Students in MUSC 1800 may be assigned to a different teacher after this initial meeting, at the discretion of the Music Program.",1," Offered in fall and spring","MUSC 1805",NULL
"  How to Read Music ",1805,MUSC," Instruction in how to read music."," Students taking ",3,NULL,"MUSC 1800",NULL
"  Selected Topic for Core Curriculum ",1930,BIOL," Course addressing broad intellectual concerns and accessible to all students, irrespective of major.",NULL,3," Offered occasionally.",NULL,NULL
"  Selected Topic for Core Curriculum ",1930,CHEM," Course addressing broad intellectual concerns and accessible to all students, irrespective of major.",NULL,3," Offered occasionally.",NULL,NULL
"  Selected Topic for Core Curriculum ",1930,MACT," A course addressing broad intellectual concerns and accessible to all students, irrespective of major.",NULL,3," Offered in fall and spring.",NULL,NULL
"  Selected Topic for Core Curriculum ",1930,PHYS," Course addressing broad intellectual concerns and accessible to all students, irrespective of major.",NULL,3," Offered occasionally.",NULL,NULL
"  Selected Topic for Core Curriculum ",1930,SCI," Course addressing broad intellectual concerns and accessible to all students, irrespective of major.",NULL,3," Offered occasionally.",NULL,NULL
"  World Music ",2000,MUSC," Study of the musical practices and cultures of representative diverse nations and peoples."," Requires no previous musical training",3,NULL,NULL,NULL
"  Introduction to Psychological Statistics ",2000,PSYC," Basic Introduction to the application and interpretation of statistical analysis in psychology. Begins with statistical methodology, branches of statistics, definition of a variable and its measurement. Topics include frequency tables and graphs, central tendency, variability, probability distributions, normal distribution, estimation, significant tests, comparison of two or more groups, association between categorical variables, regression, correlation. Use of SPSS software.",NULL,3," Offered in fall and spring.",NULL,NULL
"  Financial Accounting ",2001,ACCT," The course introduces accounting as a discipline and the various uses of accounting information. It covers the accumulation, processing, and communication of accounting information. The measurement of assets, liabilities, equities and income are emphasized."," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor.",3," Offered in fall and spring.",NULL,NULL
"  Egypt Water Crisis: Challenges and Solutions ",2001,CHEM," Water scarcity may lead to conflicts between countries as they struggle to maintain sufficient water access for their populations. Dams on rivers are major threat for habitat since they change the Earth’s topography and underground river aquifers. Nowadays, political conflicts arise between countries that share the same water resources. Egypt, in particular, suffer from a major water threat as it shares the river Nile with nine other countries. Recently, sustainability of water resources in Egypt is challenged due to the construction of the Grand Ethiopian Renaissance Dam (GERD). This course discusses the impact of this dam on the environmental, ecological, economic and political aspects of the Egyptian lives. It also evaluates the relevant international treaties and water policies.

",NULL,3,NULL,NULL,NULL
"  Managerial Accounting ",2002,ACCT," Introduction to management accounting in terms of modern cost accounting and budgetary systems. The course emphasizes management uses of accounting information in the planning and controlling of business operations in the manufacturing and services sectors.
",NULL,3,NULL,"ACCT 2001",NULL
"  Organic Chemistry I ",2003,CHEM," Aliphatic and aromatic hydrocarbons, stereochemistry and conformational analysis, ionic and free-radical substitution and addition reactions.",NULL,3," Offered in fall.","CHEM 1005",NULL
"  Introduction to Political Science II ",2003,POLS," This course is reserved for students above the level of first semester sophomores who wish to major in Political Science, but cannot be taken if students have already taken ",NULL,3," Offered in fall and spring.","POLS 1001",NULL
"  Chemistry, Art and Archaeology ",2004,SCI," The course provides students with some grounding in the application of Natural Sciences to the solution of problems related to Art and Archaeology and instigates in them an appreciation of the complementary contributions of the Humanities and Sciences to the study of particular phenomenon.  Students are introduced to analytical scientific techniques on a need to know basis depending on relevant applications.  Celebrated cases of fakes and forgeries are discussed.  The course aims at enhancing the student’s analytical ability and skills to solve problems related to forgery.",NULL,3," Offered in fall and spring.",NULL,NULL
"  Arab Society ",2005,ANTH," Description and analysis of social and cultural characteristics and problems of contemporary Arab Society, taking into consideration the specific historical, economic, and ideological forces that shape it. The social basis for Arab unity and identity. Introduction to basic concepts and principles for understanding social phenomena.",NULL,3," Offered in fall and spring.","RHET 2010",NULL
"  Environmental Analytical Chemistry ",2005,CHEM," Introduction; analytical environmental data: assessment and interpretation, titrimetry, chromatography, atomic spectrometry, mass spectrometry, potentiometric techniques, thermal techniques. Specific applications to the environment."," This course is not available for credit for students who take ",3,NULL,"CHEM 1006",NULL
"  Introduction to Geology ",2005,SCI," The environment of Earth and the natural forces that shape it; Earth’s materials, origin and its 4.5 billion years history; geological events and their implications in finding oil and gas and other natural energy resources; economic contributions of geology to the environment; special case studies with emphasis on Egypt are discussed.",NULL,3," Offered in fall and spring.",NULL,NULL
"  Arab Society ",2005,SOC," Description and analysis of social and cultural characteristics and problems of contemporary Arab Society, taking into consideration the specific historical, economic, and ideological forces that shape it. The social basis for Arab unity and identity. Introduction to basic concepts and principles for understanding social phenomena.",NULL,3," Offered in fall and spring.","RHET 2010",NULL
"  Analytical Chemistry I ",2006,CHEM,NULL,NULL,2,NULL,"CHEM 1006",NULL
"  Environmental Geology ",2006,SCI," Environmental geology is applied geology focussing briefly on the entire spectrum of possible interactions between people and the physical environment.",NULL,3," Offered occasionally.",NULL,NULL
"  Chemical Industries ",2007,CHEM," An overview of major chemical industries, global and local production, major products and their production, selected from: metals petrochemicals, agrochemicals, dyes, pharmaceuticals, plastics, glass, ceramics, cement. Quality assurance."," Field trips to local industries.",3," Offered in fall.","CHEM 1006",NULL
"  Truth, Lies, and Logical Reasoning ",2010,PHIL," Truth, Lies, and Logical Reasoning aims to analyze and improve argumentation and reasoning as they occur in everyday life, to identify logical fallacies, and to critically examine common techniques of persuasion. The course examines logically valid forms and rules of inference, introduces deductive and inductive methods in ancient and modern logic, and elaborates the nature of definitions, categories and judgments. Students will mine their everyday lives, media, and various forms of public discourse for real-world examples of good and bad reasoning.",NULL,3," Offered every year.",NULL,NULL
"  Research Writing ",2010,RHET," Develops the skills to produce extended forms of academic essays and research papers with a focus on the methods of research, process of research paper writing, integration and evaluation of sources and critical analysis."," For students beginning fall 2013 and later, RHET 2010 has been replaced by ",3," Offered in fall, spring and summer.","RHET 1100",NULL
"  Introduction to Microeconomics ",2011,ECON," Fundamental economic concepts and methods of economic analysis with emphasis on microeconomic issues. Analyzes basic principles of market economics including resource allocation, opportunity cost, core elements of demand and supply, market equilibrium, elasticity, pricing, market structure, and trade exchange. Labor and capital markets, market efficiency, regulation, and social welfare implications.
",NULL,3,NULL,NULL,NULL
"  Introduction to Petroleum Geology ",2011,PENG," Basic concepts of Geology; Uniformatization, Geologic Time, Plate Tectonics, Rocks and Minerals (Igneous, Sedimentary and Metamorphic), Minerals, Origin of Sedimentary particles, Sedimentary Transport, Depositional Environments (Continental, Transitional and Marine), Sedimentary Facies, Lithification, classification of sedimentary rocks, Mechanical behavior of the rocks, Stratigraphy (correlation, superposition, unconformity, faunal succession and relative age), Structure, folds and its types, faulting and their types."," ",2," Offered in fall and spring.","CHEM 1005",NULL
"  Geology Lab. ",2012,PENG," Introduction to physical properties of the Earth’s materials. Identification of rock forming minerals. Macroscopic description and identification of rocks. Brief introduction to microscopic methods used in identification of the different types of rocks; mode of preservation and identification of fossils and their significance to petroleum geology; topographic and subsurface maps; contour maps and cross sections and finally, introduction to remote sensing techniques."," ",1,NULL,NULL,NULL
